Disruption URL,CLDR Territory Code,Region,Product,Start Date (Pacific Time; may be approximated),End Date (Pacific Time; may be approximated),Source,Source URL,Title,Excerpt
https://www.google.com/transparencyreport/traffic/disruptions/126/,IQ,Iraq,YouTube,06/13/2014,,Mashable,http://mashable.com/2014/06/13/facebook-youtube-twitter-blocked-iraq/,"Facebook, YouTube, Twitter Blocked in Iraq Amid Crisis",As Iraq faces a growing insurgency...the country's Ministry of Communications has blocked access to a number of social media sites on Friday
https://www.google.com/transparencyreport/traffic/disruptions/125/,TJ,Tajikistan,All Products,06/09/2014,06/19/2014,Radio Free Europe/Radio Liberty,"http://www.rhttp://en.rsf.org/tajikistan-youtube-blocked-google-partly-13-06-2014,46438.htmlferl.org/content/youtube-partially-blocked-in-tajikistan/25416452.html",YouTube Partially Blocked In Tajikistan,The chairman of Tajikistan's Association of Internet Service Providers told RFE/RL that YouTube stopped being accessible [...] as of June 9.
https://www.google.com/transparencyreport/traffic/disruptions/124/,CN,China,All Products,06/01/2014,,Bloomberg,http://www.bloomberg.com/news/2014-06-02/google-s-china-services-slow-before-tiananmen-anniversary.html,Google's China Services Slow Ahead of Anniversary,Google Inc. services in China face blockages as the government tightens Internet controls ahead of the anniversary of the Tiananmen Square c…
https://www.google.com/transparencyreport/traffic/disruptions/123/,IR,Iran,Google Sites,04/07/2014,,,,,Google Sites partially accessible
https://www.google.com/transparencyreport/traffic/disruptions/121/,TR,Turkey,YouTube,03/27/2014,06/04/2014,Bloomberg,http://www.bloomberg.com/news/2014-03-27/turkey-blocks-youtube-after-leak-of-syria-incursion-planning.html,Turkey Blocks YouTube After Syria Incursion Plans Leaked,Turkey’s telecommunications authority said yesterday it had blocked access to YouTube.
https://www.google.com/transparencyreport/traffic/disruptions/119/,SY,Syria,All Products,02/20/2014,02/20/2014,Renesys,https://twitter.com/renesys/status/436511307789905920,Near-total Internet blackout in Syria,"Following near-total Internet blackout in #Syria, service returns at 14:29:44 UTC"
https://www.google.com/transparencyreport/traffic/disruptions/118/,CN,China,All Products,01/21/2014,01/21/2014,Wall Street Journal,http://blogs.wsj.com/digits/2014/01/21/chinas-sina-baidu-and-other-big-websites-are-hit-with-disruptions/,China Websites Hit with Disruptions,A large portion of Internet traffic in China on Tuesday was redirected to servers run by a small U.S. company.
https://www.google.com/transparencyreport/traffic/disruptions/116/,IQ,Iraq,All Products,10/10/2013,10/11/2013,Renesys,http://b2b.renesys.com/eventsbulletin/2013/10/IQ-1381404630.html,97 networks out in Iraq,97 networks experienced an outage in Iraq starting at 11:30 UTC on October 10. This represents 17% of the routed networks in the country.
https://www.google.com/transparencyreport/traffic/disruptions/114/,SD,Sudan,All Products,09/25/2013,09/26/2013,The Guardian,http://www.theguardian.com/technology/2013/sep/25/sudan-internet-cut-khartoum-protests,Sudan internet cut off as protests erupt against government in Khartoum,The move to cut connections appears to have been done by the government to prevent protesters using social media to organise riots. 
https://www.google.com/transparencyreport/traffic/disruptions/111/,US,United States,All Products,08/16/2013,08/16/2013,Google Apps Status Dashboard,http://www.google.com/appsstatus#hl=en&v=issue&ts=1377233999000&sid=1&iid=0a668851fc3f5856b360e2bdb8781fc1,Brief Google services disruption,"From 15:51-15:52 PDT, 50-70% of requests to Google received errors; service was mostly restored 1 min later, and fully restored after 4 mins"
https://www.google.com/transparencyreport/traffic/disruptions/110/,MM,Myanmar (Burma),All Products,08/05/2013,08/05/2013,Renesys,http://www.renesys.com/2013/08/myanmar-internet/,Myanmar Internet Disruptions,"On 5 August, all routed networks to Myanmar were withdrawn from the global routing table for a little over an hour resulting in a brief, but…"
https://www.google.com/transparencyreport/traffic/disruptions/85/,TJ,Tajikistan,YouTube,05/23/2013,08/20/2013,RIA Novosti,http://www.en.rian.ru/world/20130525/181339520.html,Tajikistan Blocks YouTube After Dancing President Video,"The ban may be backlash over a video report of the wedding of President Emomali Rakhmon’s son Rustam, BBC Russian said."
https://www.google.com/transparencyreport/traffic/disruptions/84/,SY,Syria,All Products,05/15/2013,05/15/2013,AFP,http://www.google.com/hostednews/afp/article/ALeqM5j61PzoB3-aDGG6AOU3pMUgiJkChA?docId=CNG.6d9f4fa5dec795c2597993538722c74f.571,"Internet, telecoms cut across Syria: SANA","Internet and telecommunications in Syria were down across the country, the state news agency SANA reported on Wednesday, saying a fault with…"
https://www.google.com/transparencyreport/traffic/disruptions/82/,SY,Syria,All Products,05/07/2013,05/08/2013,Washington Post,http://www.washingtonpost.com/blogs/worldviews/wp/2013/05/07/web-monitor-syria-has-largely-disappeared-from-the-internet/,Web monitor: ‘Syria has largely disappeared from the Internet’,"The outage appears to have begun at 2:45 p.m. Eastern time, or 9:45 p.m. in Syria. According to a blog post by Umbrella’s chief technology o…"
https://www.google.com/transparencyreport/traffic/disruptions/72/,TT,Trinidad and Tobago,All Products,03/29/2013,03/29/2013,Global Voices,http://globalvoicesonline.org/2013/03/31/blackout-has-trinidad-tobago-bloggers-seeing-red/,Blackout has Trinidad & Tobago Bloggers Seeing Red,"Good Friday in Trinidad and Tobago was suddenly dubbed 'Black Friday' as the country descended into darkness, thanks to a nationwide ..."
https://www.google.com/transparencyreport/traffic/disruptions/7/,SY,Syria,All Products,01/06/2013,01/06/2013,USA Today,http://www.usatoday.com/story/news/world/2013/01/06/syria-assad-speech-violence/1811789/,Defiant Assad Pledges to Continue Fighting,"The Internet was cut in many parts of Damascus ahead of the address, apparently for security reasons, and some streets were closed."
https://www.google.com/transparencyreport/traffic/disruptions/28/,SN,Senegal,All Products,12/19/2012,12/19/2012,ARTP Senegal,http://www.artpsenegal.net/page_inter2.php?idmenu=5&id=10104&art=402,Perturbations observées sur les services internet et les communications vers l’international au courant de la nuit du 18 décembre...,"Le 18 décembre, à partir de 22h30 et 19 décembre 2012, l’ARTP a noté des perturbations sur les services Internet..."
https://www.google.com/transparencyreport/traffic/disruptions/27/,SY,Syria,All Products,11/29/2012,12/01/2012,AP,http://bigstory.ap.org/article/syria-rebels-kill-ruling-party-official-bomb,Internet Service Goes Out Across Syria,Activists said President Bashar Assad's regime pulled the plug on the Internet... The government blamed rebel fighters for the outages.
https://www.google.com/transparencyreport/traffic/disruptions/26/,CN,China,All Products,11/09/2012,11/09/2012,Guardian,http://www.guardian.co.uk/technology/2012/nov/09/google-services-blocked-china-gmail,Google services blocked in China,Google's search engine and its Gmail web email were among the services affected in China...
https://www.google.com/transparencyreport/traffic/disruptions/25/,HK,Hong Kong,All Products,11/06/2012,11/06/2012,Ars Technica,http://arstechnica.com/information-technology/2012/11/how-an-indonesian-isp-took-down-the-mighty-google-for-30-minutes/,How an Indonesian ISP took down the mighty Google for 30 minutes,"Google's services went offline for many users for nearly a half-hour on the evening of November 5, thanks to an erroneous routing message..."
https://www.google.com/transparencyreport/traffic/disruptions/24/,ID,Indonesia,All Products,11/06/2012,11/06/2012,Wired,http://www.wired.com/wiredenterprise/2012/11/google-indonesia/,How a Network Snafu in Indonesia Blocked Google in California,"Well, it looks like an error at an internet service provider in Indonesia prevented as much as 5 percent of the world’s internet users from…"
https://www.google.com/transparencyreport/traffic/disruptions/21/,IR,Iran,Gmail,09/24/2012,09/29/2012,The Atlantic,http://www.theatlanticwire.com/global/2012/09/google-latest-victim-irans-war-internet/57171/,Google Is the Latest Victim of Iran's War on the Internet,Iran began the process of shutting down citizens' access to the Internet on Sunday by suspending access to Google and Gmail nationwide.
